"2016-07-18",525
"2016-07-19",439
"2016-07-20",439
"2016-07-23",166
"2016-07-24",216
"2016-07-25",292
"2016-07-26",1395
"2016-07-27",582
"2016-07-28",500
"2016-07-29",487
"2016-07-30",386
"2016-07-31",241
"2016-08-01",249
"2016-08-02",524
"2016-08-03",555
"2016-08-04",518
"2016-08-05",488
"2016-08-06",413
"2016-08-07",297
"2016-08-08",534
"2016-08-09",622
"2016-08-10",421
"2016-08-11",403
"2016-08-12",452
"2016-08-13",233
"2016-08-14",130
"2016-08-15",389
"2016-08-16",439
"2016-08-17",512
"2016-08-18",526
"2016-08-19",657
"2016-08-20",700
"2016-08-21",189
"2016-08-22",594
"2016-08-23",619
"2016-08-24",733
"2016-08-25",549
"2016-08-26",476
"2016-08-27",286
"2016-08-28",314
"2016-08-29",645
"2016-08-30",534
"2016-08-31",554
"2016-09-01",564
"2016-09-02",485
"2016-09-03",374
"2016-09-04",193
"2016-09-05",552
"2016-09-06",584
"2016-09-07",536
"2016-09-08",407
"2016-09-09",345
"2016-09-10",191
"2016-09-11",345
"2016-09-12",472
"2016-09-13",447
"2016-09-14",406
"2016-09-15",309
"2016-09-16",374
"2016-09-18",189
"2016-09-19",438
"2016-09-20",341
"2016-09-21",437
"2016-09-22",373
"2016-09-23",370
"2016-09-24",137
"2016-09-25",241
"2016-09-26",508
"2016-09-27",458
"2016-09-28",521
"2016-09-29",474
"2016-09-30",447
"2016-10-01",293
"2016-10-03",277
"2016-10-04",320
"2016-10-05",170
"2016-10-06",362
"2016-10-07",220
"2016-10-08",128
"2016-10-09",85
"2016-10-10",386
"2016-10-11",330
"2016-10-12",118
"2016-10-14",326
"2016-10-15",173
"2016-10-16",195
"2016-10-17",421
"2016-10-18",393
"2016-10-19",139
"2016-10-20",230
"2016-10-21",217
"2016-10-23",98
"2016-10-24",286
"2016-10-25",234
"2016-10-26",263
"2016-10-27",276
"2016-10-28",214
"2016-10-29",117
"2016-10-30",49
"2016-10-31",286
"2016-11-01",356
